City,Alarms,Articles
Kerem Shalom,2,6
Ashqelon,3,23
Mavqi'im,2,0
Netiv HaAsara,3,2
Netiv HaAsara,3,0
Ashqelon,2,0
Ziqim,2,5
Ashdod,2,0
Palmahim,1,0
Yad Mordekhay,3,4
Ashqelon,1,0
Be'er Gannim,3,0
Kefar Azza,2,5
Sa'ad,3,1
Nahal Oz,3,3
Re'im,1,0
Kissufim ,2,0
En HaShelosha,2,0
Nirim,2,0
Mefallesim,3,5
Nir Am,3,4
Nir Am,3,0
Sederot,3,27
Ibbim,3,0
Regavim,3,4
Sappir,3,0
Nir Moshe,1,0
Ashdod,2,0
Ashdod,2,0
Ashdod,2,0
Ashdod,3,0
Ashdod,2,0
Alumim ,3,0
Erez,3,9
Mattityahu,0,0
Sasa,0,0
Sasa,0,0
Ziv'on,0,0
Abbirim,0,0
Elqosh,0,0
Zuri'el,0,0
Fassuta,0,0
Netu'a,0,0
Meron,0,0
Peqi'in Hadasha,0,0
Hurfeish,0,0
Or HaNer,1,3
Kefar Maymon,3,0
Shuva,3,0
Shoqeda,3,0
Be'eri,3,0
Berosh,1,0
Te'ashur,0,0
Tidhar,1,0
Shibbolim ,1,0
Ma'galim ,2,0
Sharsheret,3,0
Netivot,3,19
Bet HaGaddi,3,0
Sufa,2,5
Peri Gan,2,0
Holit,2,0
Nir Yizhaq,2,0
Bat Hadar,1,0
Bet Shiqma,2,0
Ge'a,2,0
Ge'a,1,0
Mash'en ,1,0
Yated,1,0
Nir Yisra'el,2,0
Berekhya,1,0
Nizzanim,2,0
Emunim,3,0
Sede Uzziyyahu,3,0
Azriqam,2,0
Beror Hayil,0,3
Ein Qiniyye,0,0
Nave,0,0
She'ar Yashuv,0,0
Majdal Shams,0,0
Nimrod,0,0
Kefar Szold,0,0
Sa'ad,0,0
Senir,0,0
Dafna,0,0
Be'er Sheva,1,0
Be'er Sheva,1,0
Omer,1,38
Be'er Sheva,1,0
Laqye,1,0
Be'er Sheva,1,0
Be'er Sheva,1,0
Yakhini,3,4
Tequma,3,0
Tequma,3,0
Sede Dawid,1,0
Shaharut,1,4
Telamim,1,0
Ammi'oz,3,0
Ezer,3,0
Talme El'azar,3,2
Giv'atayim,3,5
Kefar Warburg,1,0
Massu'ot Yizhaq,1,0
Yavne,3,2
Shafir,1,0
Shafir,1,0
En Zurim,1,0
Shetulim,3,4
nan,3,0
Aseret,1,0
Kefar Mordekhay,1,0
Misgav Dov,2,0
Benaya,1,0
Bene Darom,2,0
Geva,1,0
Meshar,2,8
Shedema,1,0
Qevuzat Yavne,2,0
Bene Darom,2,0
Yavne,2,0
nan,2,38
Kefar Aviv,2,0
Bizzaron,2,0
Gan HaDarom,2,0
Newe Mivtah,2,0
Sede Nizzan,2,0
Ben Zakkay,2,0
Ma'on,2,0
Ma'on,2,0
Ge'alya,1,0
nan,2,8
Qidron,2,0
Rehovot,1,5
Ezer,2,0
Nir Gallim,2,0
Kefar HaNagid,2,0
Gan Shelomo,1,0
Kannot,2,0
Kannot,2,0
Giv'at Brenner,1,0
Bet Gamli'el,1,0
Gedera,2,12
Talme Yosef,1,0
Shibbolim ,1,0
Avshalom,1,0
Deqel,1,0
Deqel,1,0
Nir Oz,1,0
Sede Nizzan,2,0
Zohar,2,0
Talme Eliyyahu,1,0
Nir Aqiva,1,0
Yad Binyamin,2,0
Revadim,1,0
Laqye,2,0
Hafez Hayyim,2,0
Karme Yosef,2,0
Mishmar Ayyalon,2,0
Kefar Bin Nun,2,0
Yesodot,1,0
Hulda,1,0
Nezer Hazzani                                     ,1,0
Mishmar Dawid,1,0
Yoshivya,2,0
Shahar,1,0
Beqoa,1,0
Zelafon,1,0
Nahshon,1,0
Kefar Uriyya,1,0
Gizo,1,0
Har'el,1,38
Ta'oz,1,0
Ta'oz,1,2
Mevo Horon ,1,0
Newe Shalom,1,0
Newe Shalom,1,0
Kefar Silver,1,0
Shefer,1,0
Gezer,1,4
Kefar Shemu'el,1,0
Azarya,1,0
Bet Uzzi'el,1,0
Bet Hashmonay,1,0
Modi'in Illit,1,12
Dorot,1,3
Dorot,1,0
Mabbu'im ,1,0
Qelahim,1,0
Qelahim,1,0
Zeru'a,1,0
Eshbol,1,0
Rishon LeZiyyon,1,0
Rishon LeZiyyon,1,0
Rishon LeZiyyon,1,0
Holon,1,10
Tel Aviv - Yafo,1,0
nan,1,0
Ahawa,1,0
Yinnon,1,0
Yinnon,1,0
Ganne Tal                                         ,1,0
Kefar Ahim,1,0
Bene Re'em,1,0
Talme Yehi'el,1,0
Mazkeret Batya,1,0
Ganne Yohanan,1,0
Qiryat Eqron,1,1
Talme Yafe,1,0
Gan Soreq,1,0
Palmahim,1,0
Hadera,0,0
Nave,0,0
Hadera,0,0
Hadera,0,0
Ma'ale Iron ,0,0
Regavim,0,0
Regavim,0,0
Tel Qazir,0,0
Ar'ara-BaNegev,0,0
Ammiqam,0,0
Ammiqam,0,0
Ammiqam,0,0
Mitspe Ilan,0,0
Nir Ezyon,0,0
Me'ir Shefeya,0,0
En Shemer,0,0
En Shemer,0,0
Sede Yizhaq,0,0
Nahsholim,0,0
Ma'yan Zevi,0,0
Nir Ezyon,0,0
Geva,0,0
Allone Yizhaq,0,0
Sha'ar Menashe,0,0
Kefar Pines,0,0
Ofer,0,1
Karmel,0,0
Karmel,0,0
Gan Shemu'el,0,0
Mezer,0,14
Jisr Az-Zarqa,0,0
Geva,0,0
nan,0,0
Ma'or,0,3
Regavim,0,0
Fureidis,0,0
Bat Shelomo,0,0
Maggal ,0,0
En Ayyala,0,0
En Iron,0,0
HaHoterim,0,0
Ma'agan Mikha'el,0,0
Ma'agan Mikha'el,0,0
Pardes Hanna-Karkur,0,0
Atlit,0,0
Atlit,0,0
Bet Hananya,0,0
Qesaryya,0,0
Barqay,0,0
HaBonim,0,0
Lahavot Haviva,0,0
Lahavot Haviva,0,0
En Dor,0,38
Zikhron Ya'aqov,0,0
Avi'el,0,0
Pardes Hanna-Karkur,0,0
Meiser,0,0
En Hod,0,0
nan,0,0
Kefar Gallim,0,0
Karmel,0,0
Newe Yam,0,0
Newe Yam,0,0
Megadim,0,0
Or Aqiva,0,0
En Karmel ,0,0
Zerufa,0,0
Mishmarot,0,0
Ma'anit,0,0
Harish,0,0
Qesaryya,0,0
Sedot Yam,0,0
Sedot Yam,0,0
Sedot Yam,0,0
Megiddo,0,0
Qesaryya,0,0
Bet Oren,0,0
Kafar Qara,0,0
Kefar Glikson,0,0
Binyamina-Giv'at Ada,0,0
Me Ammi,0,0
Me Ammi,0,0
Ein Hod,0,0
Bet Zevi,0,0
Yanuh-Jat,0,0
Yanuh-Jat,0,0
Geva,0,0
Talme El'azar,0,0
Dishon,0,0
Dishon,0,0
Eli,0,0
nan,0,0
nan,0,30
nan,0,3
Malkishua,0,6
Malkishua,0,3
Malkishua,0,0
Malkishua,0,5
nan,0,3
Bet Shemesh,0,2
nan,0,0
nan,0,38
nan,0,14
Ma'ale Adummim ,0,0
Shave Shomeron,0,0
Jerusalem,0,5
Elat,0,0
nan,0,0
nan,0,0
nan,0,0
nan,0,0
Sha'ar HaGolan ,0,0
Qazrin,0,0
Dan,0,0
Netanya,0,0
Netanya,0,0
Jerusalem,0,0
Jerusalem,0,0
Jerusalem,0,0
Jerusalem,0,0
Gelil Yam,0,0
Jerusalem,0,0
Jerusalem,0,0
Jerusalem,0,0
Ashqelon,0,0
Ashqelon,0,0
Ramat Gan ,0,0
Ramat Gan ,0,0
Tel Qazir,0,0
Sha'ar HaGolan ,0,0
Ma'agan Mikha'el,0,0
Massada,0,0
HaOn,0,0
Azor,0,0
Laqye,0,0
Migdalim ,0,0
Yavne'el,0,0
Shefar'am,0,0
Qiryat Bialik,0,0
Akko,0,0
Karmi'el,0,0
Kafar Kama,0,0
Qiryat Yam,0,0
Qiryat Atta,0,0
Karmi'el,0,0
Shlomit                                           ,0,0
Qiryat Shemona,0,0
Adi,0,0
nan,0,0
Shlomit                                           ,0,0
Adamit,0,0
Zova,0,0
Kabri,0,0
Ya'ara,0,0
Hanita,0,0
Sheikh Dannun,0,0
Netiv HaShayyara,0,0
Kefar Rosh HaNiqra,0,0
Gevulot,0,2
Magen Sha'ul ,0,0
Gevar'am,0,0
Poriyya-Newe Oved,0,0
Poriyya-Newe Oved,0,0
Rahat,0,0
Mishmar HaNegev,0,0
Mishmar HaNegev,0,0
nan,0,0
Lehavim ,0,0
Rannen,0,0
Peduyim,0,0
Tel Sheva,0,0
Nevatim ,0,0
Nevatim ,0,0
