data,date,time,datetime,category,category_desc,matrix_id,rid,outLat,outLong,inLat,inLong
נתניה - מערב,03.11.2021,18:28:01,2021-11-03T18:28:00,1,ירי רקטות וטילים,1,14330,,,31.513,34.452
הרצליה - מערב,03.11.2021,18:28:01,2021-11-03T18:28:00,1,ירי רקטות וטילים,1,14329,,,31.513,34.452
ירושלים - צפון,03.11.2021,18:28:01,2021-11-03T18:28:00,1,ירי רקטות וטילים,1,14328,,,31.513,34.452
ירושלים - מרכז,03.11.2021,18:28:01,2021-11-03T18:28:00,1,ירי רקטות וטילים,1,14327,,,31.513,34.452
ירושלים - מערב,03.11.2021,18:28:01,2021-11-03T18:28:00,1,ירי רקטות וטילים,1,14326,,,31.513,34.452
ירושלים - מזרח,03.11.2021,18:28:01,2021-11-03T18:28:00,1,ירי רקטות וטילים,1,14325,,,31.513,34.452
אזור תעשייה הדרומי אשקלון,03.11.2021,18:28:01,2021-11-03T18:28:00,1,ירי רקטות וטילים,1,14324,,,31.513,34.452
חדרה - מרכז,03.11.2021,18:18:38,2021-11-03T18:19:00,1,ירי רקטות וטילים,1,14323,,,31.513,34.452
ראשון לציון - מערב,03.11.2021,18:18:38,2021-11-03T18:19:00,1,ירי רקטות וטילים,1,14322,,,31.513,34.452
ירושלים - צפון,03.11.2021,18:18:38,2021-11-03T18:19:00,1,ירי רקטות וטילים,1,14321,,,31.513,34.452
ירושלים - מרכז,03.11.2021,18:18:38,2021-11-03T18:19:00,1,ירי רקטות וטילים,1,14320,,,31.513,34.452
ירושלים - מזרח,03.11.2021,18:18:38,2021-11-03T18:19:00,1,ירי רקטות וטילים,1,14319,,,31.513,34.452
אזור תעשייה צפוני אשקלון,03.11.2021,18:17:57,2021-11-03T18:18:00,1,ירי רקטות וטילים,1,14318,,,31.513,34.452
חדרה - נווה חיים,03.11.2021,18:07:59,2021-11-03T18:08:00,1,ירי רקטות וטילים,1,14317,,,31.513,34.452
ראשון לציון - מזרח,03.11.2021,18:07:59,2021-11-03T18:08:00,1,ירי רקטות וטילים,1,14316,,,31.513,34.452
הרצליה - מרכז וגליל ים,03.11.2021,18:07:59,2021-11-03T18:08:00,1,ירי רקטות וטילים,1,14315,,,31.513,34.452
ירושלים - מזרח,03.11.2021,18:07:59,2021-11-03T18:08:00,1,ירי רקטות וטילים,1,14314,,,31.513,34.452
ירושלים - כפר עקב,03.11.2021,18:07:59,2021-11-03T18:08:00,1,ירי רקטות וטילים,1,14313,,,31.513,34.452
ירושלים - דרום,03.11.2021,18:07:59,2021-11-03T18:08:00,1,ירי רקטות וטילים,1,14312,,,31.513,34.452
ירושלים - אזור תעשייה עטרות,03.11.2021,18:07:59,2021-11-03T18:08:00,1,ירי רקטות וטילים,1,14311,,,31.513,34.452
אשקלון - צפון,03.11.2021,18:07:59,2021-11-03T18:08:00,1,ירי רקטות וטילים,1,14310,,,31.513,34.452
אשקלון - דרום,03.11.2021,18:07:59,2021-11-03T18:08:00,1,ירי רקטות וטילים,1,14309,,,31.513,34.452
חדרה - מערב,03.11.2021,17:58:03,2021-11-03T17:58:00,1,ירי רקטות וטילים,1,14308,,,31.513,34.452
רמת גן - מערב,03.11.2021,17:58:03,2021-11-03T17:58:00,1,ירי רקטות וטילים,1,14307,,,31.513,34.452
פארק תעשיות פלמחים,03.11.2021,17:58:03,2021-11-03T17:58:00,1,ירי רקטות וטילים,1,14306,,,31.513,34.452
ירושלים - צפון,03.11.2021,17:58:03,2021-11-03T17:58:00,1,ירי רקטות וטילים,1,14305,,,31.513,34.452
אשקלון - צפון,03.11.2021,17:58:03,2021-11-03T17:58:00,1,ירי רקטות וטילים,1,14304,,,31.513,34.452
המכללה האקדמית כנרת,03.11.2021,10:28:00,2021-11-03T10:28:00,1,ירי רקטות וטילים,1,14303,,,31.513,34.452
תל קציר,03.11.2021,10:28:00,2021-11-03T10:28:00,1,ירי רקטות וטילים,1,14302,,,31.513,34.452
שער הגולן,03.11.2021,10:28:00,2021-11-03T10:28:00,1,ירי רקטות וטילים,1,14301,,,31.513,34.452
מעגן,03.11.2021,10:28:00,2021-11-03T10:28:00,1,ירי רקטות וטילים,1,14300,,,31.513,34.452
מסדה,03.11.2021,10:28:00,2021-11-03T10:28:00,1,ירי רקטות וטילים,1,14299,,,31.513,34.452
האון,03.11.2021,10:28:00,2021-11-03T10:28:00,1,ירי רקטות וטילים,1,14298,,,31.513,34.452
אזור תעשייה צמח,03.11.2021,10:28:00,2021-11-03T10:28:00,1,ירי רקטות וטילים,1,14297,,,31.513,34.452
עומר,03.11.2021,10:18:02,2021-11-03T10:18:00,1,ירי רקטות וטילים,1,14296,,,31.513,34.452
לקיה,03.11.2021,10:18:02,2021-11-03T10:18:00,1,ירי רקטות וטילים,1,14295,,,31.513,34.452
מגדל,03.11.2021,10:08:00,2021-11-03T10:08:00,1,ירי רקטות וטילים,1,14294,,,31.513,34.452
יבנאל,03.11.2021,10:08:00,2021-11-03T10:08:00,1,ירי רקטות וטילים,1,14293,,,31.513,34.452
שפרעם,03.11.2021,10:08:00,2021-11-03T10:08:00,1,ירי רקטות וטילים,1,14292,,,31.513,34.452
קריית ביאליק,03.11.2021,10:08:00,2021-11-03T10:08:00,1,ירי רקטות וטילים,1,14291,,,31.513,34.452
עכו,03.11.2021,10:08:00,2021-11-03T10:08:00,1,ירי רקטות וטילים,1,14290,,,31.513,34.452
