data,date,time,datetime,outLat,outLong,inLat,inLong
כרם שלום,29.12.2020,0:05,2020-12-29T00:06:00,,,31.513,34.452
אשקלון,25.12.2020,20:01,2020-12-25T20:01:00,,,31.513,34.452
מבקיעים,25.12.2020,20:01,2020-12-25T20:01:00,,,31.513,34.452
נתיב העשרה,25.12.2020,20:01,2020-12-25T20:01:00,,,31.513,34.452
כרמיה,25.12.2020,20:01,2020-12-25T20:01:00,,,31.513,34.452
אזור תעשייה הדרומי אשקלון,25.12.2020,20:00,2020-12-25T20:01:00,,,31.513,34.452
זיקים,25.12.2020,20:00,2020-12-25T20:01:00,,,31.513,34.452
אשקלון,21.11.2020,21:36,2020-11-21T21:36:00,,,31.513,34.452
אזור תעשייה הדרומי אשקלון,21.11.2020,21:36,2020-11-21T21:36:00,,,31.513,34.452
אשדוד - אזור תעשייה צפוני ונ,15.11.2020,2:07,2020-11-15T02:08:00,,,31.513,34.452
פלמחים,15.11.2020,2:07,2020-11-15T02:07:00,,,31.513,34.452
נתיב העשרה,22.10.2020,22:11,2020-10-22T22:11:00,,,31.513,34.452
יד מרדכי,22.10.2020,22:11,2020-10-22T22:11:00,,,31.513,34.452
כרמיה,22.10.2020,22:11,2020-10-22T22:11:00,,,31.513,34.452
מבקיעים,22.10.2020,22:10,2020-10-22T22:11:00,,,31.513,34.452
אזור תעשייה צפוני אשקלון,22.10.2020,22:10,2020-10-22T22:11:00,,,31.513,34.452
אזור תעשייה הדרומי אשקלון,22.10.2020,22:10,2020-10-22T22:11:00,,,31.513,34.452
אשקלון,22.10.2020,22:10,2020-10-22T22:11:00,,,31.513,34.452
באר גנים,22.10.2020,22:10,2020-10-22T22:11:00,,,31.513,34.452
כפר עזה,20.10.2020,20:56,2020-10-20T20:56:00,,,31.513,34.452
סעד,20.10.2020,20:56,2020-10-20T20:56:00,,,31.513,34.452
נחל עוז,20.10.2020,20:56,2020-10-20T20:56:00,,,31.513,34.452
נתיב העשרה,16.10.2020,20:59,2020-10-16T21:00:00,,,31.513,34.452
כרם שלום,05.10.2020,20:19,2020-10-05T20:20:00,,,31.513,34.452
רעים,16.09.2020,5:09,2020-09-16T05:09:00,,,31.513,34.452
כיסופים,16.09.2020,5:08,2020-09-16T05:09:00,,,31.513,34.452
כיסופים,16.09.2020,5:01,2020-09-16T05:02:00,,,31.513,34.452
