City,Alarms,Articles
Kerem Shalom,6,2
Ashqelon,5,6
Mavqi'im,5,0
Netiv HaAsara,6,1
Netiv HaAsara,5,0
Ashqelon,5,0
Ziqim,5,0
Ashdod,5,0
Palmahim,2,0
Yad Mordekhay,4,0
Ashqelon,5,0
Be'er Gannim,5,0
Kefar Azza,6,0
Sa'ad,6,0
Nahal Oz,6,1
Re'im,5,0
Kissufim ,6,0
En HaShelosha,6,0
Nirim,6,0
Mefallesim,5,0
Nir Am,5,0
Nir Am,5,0
Sederot,5,4
Ibbim,5,0
Regavim,5,0
Sappir,5,0
Nir Moshe,0,0
Ashdod,5,0
Ashdod,5,0
Ashdod,5,0
Ashdod,5,0
Ashdod,5,0
Alumim ,6,0
Erez,5,1
Mattityahu,0,0
Sasa,0,0
Sasa,0,0
Ziv'on,0,0
Abbirim,0,0
Elqosh,0,0
Zuri'el,0,0
Fassuta,0,0
Netu'a,0,0
Meron,0,0
Peqi'in Hadasha,0,0
Hurfeish,0,0
Or HaNer,1,0
Kefar Maymon,5,0
Shuva,6,0
Shoqeda,6,0
Be'eri,5,0
Berosh,3,0
Te'ashur,3,0
Tidhar,2,0
Shibbolim ,2,0
Ma'galim ,3,0
Sharsheret,2,0
Netivot,5,3
Bet HaGaddi,4,0
Sufa,6,0
Peri Gan,6,0
Holit,6,0
Nir Yizhaq,5,0
Bat Hadar,5,0
Bet Shiqma,5,0
Ge'a,5,0
Ge'a,5,0
Mash'en ,5,0
Yated,5,0
Nir Yisra'el,4,0
Berekhya,4,0
Nizzanim,5,0
Emunim,4,0
Sede Uzziyyahu,5,0
Azriqam,3,0
Beror Hayil,1,0
Ein Qiniyye,0,0
Nave,0,0
She'ar Yashuv,0,0
Majdal Shams,0,0
Nimrod,0,0
Kefar Szold,0,0
Sa'ad,0,0
Senir,0,0
Dafna,0,0
Be'er Sheva,5,0
Be'er Sheva,5,0
Omer,4,17
Be'er Sheva,5,0
Laqye,5,0
Be'er Sheva,5,0
Be'er Sheva,4,0
Yakhini,2,0
Tequma,5,0
Tequma,5,0
Sede Dawid,0,0
Shaharut,1,0
Telamim,0,0
Ammi'oz,6,0
Ezer,5,0
Talme El'azar,4,0
Giv'atayim,3,0
Kefar Warburg,5,0
Massu'ot Yizhaq,5,0
Yavne,5,0
Shafir,3,1
Shafir,3,0
En Zurim,3,0
Shetulim,5,0
nan,5,0
Aseret,3,0
Kefar Mordekhay,3,0
Misgav Dov,3,0
Benaya,3,1
Bene Darom,4,0
Geva,3,0
Meshar,2,3
Shedema,3,0
Qevuzat Yavne,4,0
Bene Darom,4,0
Yavne,4,0
nan,2,17
Kefar Aviv,3,0
Bizzaron,2,0
Gan HaDarom,4,0
Newe Mivtah,2,0
Sede Nizzan,5,0
Ben Zakkay,2,0
Ma'on,2,0
Ma'on,0,0
Ge'alya,2,0
nan,2,1
Qidron,1,0
Rehovot,1,0
Ezer,1,0
Nir Gallim,4,0
Kefar HaNagid,2,0
Gan Shelomo,1,0
Kannot,1,0
Kannot,0,0
Giv'at Brenner,1,0
Bet Gamli'el,2,0
Gedera,1,0
Talme Yosef,4,0
Shibbolim ,5,0
Avshalom,4,0
Deqel,4,0
Deqel,6,0
Nir Oz,5,0
Sede Nizzan,5,0
Zohar,6,0
Talme Eliyyahu,4,0
Nir Aqiva,0,0
Yad Binyamin,1,0
Revadim,0,0
Laqye,1,0
Hafez Hayyim,0,0
Karme Yosef,0,0
Mishmar Ayyalon,0,0
Kefar Bin Nun,0,0
Yesodot,0,0
Hulda,0,0
Nezer Hazzani                                     ,1,0
Mishmar Dawid,0,0
Yoshivya,3,0
Shahar,0,0
Beqoa,0,0
Zelafon,0,0
Nahshon,0,0
Kefar Uriyya,0,0
Gizo,0,0
Har'el,0,17
Ta'oz,0,0
Ta'oz,0,0
Mevo Horon ,0,0
Newe Shalom,0,0
Newe Shalom,2,0
Kefar Silver,4,0
Shefer,0,0
Gezer,0,6
Kefar Shemu'el,0,0
Azarya,0,0
Bet Uzzi'el,0,0
Bet Hashmonay,0,0
Modi'in Illit,0,6
Dorot,1,0
Dorot,3,0
Mabbu'im ,0,0
Qelahim,1,0
Qelahim,1,0
Zeru'a,2,0
Eshbol,0,0
Rishon LeZiyyon,1,0
Rishon LeZiyyon,0,0
Rishon LeZiyyon,1,0
Holon,1,0
Tel Aviv - Yafo,1,0
nan,0,0
Ahawa,2,0
Yinnon,2,0
Yinnon,1,0
Ganne Tal                                         ,0,0
Kefar Ahim,3,0
Bene Re'em,0,0
Talme Yehi'el,1,0
Mazkeret Batya,1,0
Ganne Yohanan,0,0
Qiryat Eqron,1,0
Talme Yafe,3,0
Gan Soreq,1,0
Palmahim,1,0
Hadera,0,0
Nave,0,0
Hadera,0,0
Hadera,0,0
Ma'ale Iron ,0,0
Regavim,0,0
Regavim,0,0
Tel Qazir,0,0
Ar'ara-BaNegev,0,0
Ammiqam,0,0
Ammiqam,0,0
Ammiqam,0,0
Mitspe Ilan,0,0
Nir Ezyon,0,0
Me'ir Shefeya,0,0
En Shemer,0,0
En Shemer,0,0
Sede Yizhaq,0,0
Nahsholim,0,0
Ma'yan Zevi,0,0
Nir Ezyon,0,0
Geva,0,0
Allone Yizhaq,0,0
Sha'ar Menashe,0,0
Kefar Pines,0,0
Ofer,0,0
Karmel,0,0
Karmel,0,0
Gan Shemu'el,0,0
Mezer,0,6
Jisr Az-Zarqa,0,0
Geva,0,0
nan,0,0
Ma'or,0,0
Regavim,0,0
Fureidis,0,0
Bat Shelomo,0,0
Maggal ,0,0
En Ayyala,0,0
En Iron,0,0
HaHoterim,0,0
Ma'agan Mikha'el,0,0
Ma'agan Mikha'el,0,0
Pardes Hanna-Karkur,0,0
Atlit,0,0
Atlit,0,0
Bet Hananya,0,0
Qesaryya,0,0
Barqay,0,0
HaBonim,0,0
Lahavot Haviva,0,0
Lahavot Haviva,0,0
En Dor,0,17
Zikhron Ya'aqov,0,0
