כרם שלום,"{'23.02.2020', '16.05.2021', '18.05.2021', '21.05.2021', '17.05.2021', '19.05.2021', '13.11.2019', '12.11.2019', '29.12.2020', '05.10.2020', '20.05.2021'}",11
אשקלון,"{'25.12.2020', '23.02.2020', '16.05.2021', '22.10.2020', '10.09.2019', '18.05.2021', '24.02.2020', '29.11.2019', '19.05.2021', '17.05.2021', '13.11.2019', '14.11.2019', '12.11.2019', '21.11.2020', '18.08.2020', '15.09.2020', '25.12.2019', '20.05.2021'}",18
מבקיעים,"{'25.12.2020', '23.02.2020', '12.09.2019', '18.10.2021', '22.10.2020', '18.05.2021', '16.05.2021', '24.02.2020', '17.05.2021', '19.05.2021', '13.11.2019', '11.09.2019', '12.11.2019', '20.05.2021'}",14
נתיב העשרה,"{'23.02.2020', '18.10.2021', '16.05.2021', '13.11.2019', '11.09.2020', '12.11.2019', '11.09.2019', '25.12.2020', '17.05.2021', '19.05.2021', '20.05.2021', '22.10.2020', '21.05.2021', '24.02.2020', '14.11.2019', '16.10.2020', '18.05.2021', '29.11.2019', '28.08.2019'}",19
כרמיה,"{'25.12.2020', '23.02.2020', '18.10.2021', '16.05.2021', '22.10.2020', '18.05.2021', '24.02.2020', '29.11.2019', '19.05.2021', '17.05.2021', '13.11.2019', '14.11.2019', '12.11.2019', '20.05.2021'}",14
אזור תעשייה הדרומי אשקלון,"{'23.02.2020', '18.10.2021', '16.05.2021', '10.09.2019', '13.11.2019', '11.09.2019', '12.11.2019', '21.11.2020', '25.12.2020', '17.05.2021', '19.05.2021', '18.08.2020', '20.05.2021', '22.10.2020', '24.02.2020', '15.09.2020', '18.05.2021', '29.11.2019', '03.11.2021'}",19
זיקים,"{'25.12.2020', '23.02.2020', '18.10.2021', '16.05.2021', '18.05.2021', '24.02.2020', '29.11.2019', '19.05.2021', '17.05.2021', '13.11.2019', '11.09.2019', '12.11.2019', '18.08.2020', '20.05.2021'}",14
אשדוד - אזור תעשייה צפוני ונ,"{'16.05.2021', '10.09.2019', '18.05.2021', '17.05.2021', '19.05.2021', '13.11.2019', '12.11.2019', '15.11.2020', '15.09.2020', '20.05.2021'}",10
פלמחים,"{'15.11.2020', '12.11.2019', '19.05.2021', '16.05.2021'}",4
יד מרדכי,"{'23.02.2020', '18.10.2021', '16.05.2021', '22.10.2020', '18.05.2021', '24.02.2020', '19.05.2021', '13.11.2019', '14.11.2019', '12.11.2019', '11.09.2019', '30.01.2020', '20.05.2021'}",13
