כרם שלום,"{'https://13tv.co.il/item/news/politics/security/rockets-towards-the-south-1252903/?pid=523&cid=902603066', 'https://13tv.co.il/item/news/politics/security/escalation-south-237206/?pid=523&cid=902676715', 'https://13tv.co.il/item/news/politics/security/w40j0-236336/?pid=523&cid=902676658', 'https://13tv.co.il/item/news/politics/security/gihad_commander-934534/?pid=523&cid=902712658', 'https://13tv.co.il/item/news/politics/security/alarm-otef-gaza-4170/?pid=523&cid=902673532', 'https://13tv.co.il/item/news/politics/security/alarm-south-937995/?pid=523&cid=902712968', 'https://13tv.co.il/item/news/politics/security/alarm-south-937730/?pid=523&cid=902712929', 'https://13tv.co.il/item/news/politics/security/cabinet-meeting-gaza-235418/?pid=523&cid=902676591', 'https://13tv.co.il/item/news/politics/security/manelis-gush-dan-235624/?pid=523&cid=902676609', 'https://13tv.co.il/item/news/politics/security/headlines-05-04-235615/?pid=523&cid=902676606', 'https://13tv.co.il/item/news/politics/security/darom-351616/?pid=523&cid=902691602', 'https://13tv.co.il/item/news/politics/security/rockets_ashdod-934556/?pid=523&cid=902712664', 'https://13tv.co.il/item/news/politics/security/beer-sheva-shooting-235907/?pid=523&cid=902676630', 'https://13tv.co.il/item/news/politics/security/south-attacks-236938/?pid=523&cid=902676700', 'https://13tv.co.il/item/news/politics/security/streets_of_gaza-936896/?pid=523&cid=902712841', 'https://13tv.co.il/item/news/politics/security/red-color-1025597/?pid=523&cid=902638159', 'https://13tv.co.il/item/news/politics/security/gaza-cabinet-south-236650/?pid=523&cid=902676673', 'https://13tv.co.il/item/news/politics/security/pikude-instructions-934593/?pid=523&cid=902712667', 'https://13tv.co.il/item/news/politics/security/drone-1252344/?pid=523&cid=902602913', 'https://13tv.co.il/item/news/politics/security/red-alarm-while-ceremony-1127540/?pid=523&cid=902656461', 'https://13tv.co.il/item/news/politics/security/sdetort-kindergarden-missile-236266/?pid=523&cid=902676655', 'https://13tv.co.il/item/news/politics/security/rocket-gaza-strip-1185465/?pid=523&cid=902668960', 'https://13tv.co.il/item/news/politics/security/gaza-ashkelon-deadgnlf1-235997/?pid=523&cid=902676636', 'https://13tv.co.il/item/news/politics/security/gaza-egypt-idf-south-236087/?pid=523&cid=902676640', 'https://13tv.co.il/item/news/politics/security/kiryat-gat-hit-235684/?pid=523&cid=902676615'}",25
אשקלון,"{'https://13tv.co.il/item/news/politics/security/rockets-towards-the-south-1252903/?pid=523&cid=902603066', 'https://13tv.co.il/item/news/politics/security/operation-heat-guard-1251947/?pid=523&cid=902602865', 'https://13tv.co.il/item/news/politics/security/hamas-response-924230/?pid=523&cid=902711515', 'https://13tv.co.il/item/news/politics/security/alarm-sderot-963570/?pid=523&cid=902716866', 'https://13tv.co.il/item/news/politics/security/gaza-attack-1117854/?pid=523&cid=902654644', 'https://13tv.co.il/item/news/politics/security/cabinet-meeting-gaza-235418/?pid=523&cid=902676591', 'https://13tv.co.il/item/news/politics/security/anti-tank-rocket-moshe-feder-south-237562/?pid=523&cid=902676769', 'https://13tv.co.il/item/news/politics/security/r9r7w-299487/?pid=523&cid=902684323', 'https://13tv.co.il/item/news/politics/security/red-alert-1143092/?pid=523&cid=902659428', 'https://13tv.co.il/item/news/politics/security/south-1127776/?pid=523&cid=902656485', 'https://13tv.co.il/item/news/politics/security/gaza-attack-935413/?pid=523&cid=902712704', 'https://13tv.co.il/item/news/politics/security/gantz-south-escalation-1013776/?pid=523&cid=902635673', 'https://13tv.co.il/item/news/politics/security/rockets-alarm-923225/?pid=523&cid=902711348', 'https://13tv.co.il/item/news/politics/security/rockets_ashdod-934556/?pid=523&cid=902712664', 'https://13tv.co.il/item/news/politics/security/south-shooting-1012869/?pid=523&cid=902635576', 'https://13tv.co.il/item/news/politics/security/adi-otef-924300/?pid=523&cid=902711524', 'https://13tv.co.il/item/news/politics/security/south-attacks-236938/?pid=523&cid=902676700', 'https://13tv.co.il/item/news/politics/security/ashkelon-south-rocket-236107/?pid=523&cid=902676643', 'https://13tv.co.il/item/news/politics/security/idf-attack-gaza-968540/?pid=523&cid=902717629', 'https://13tv.co.il/item/news/politics/security/gaza-red-964435/?pid=523&cid=902716960', 'https://13tv.co.il/item/news/politics/security/red-alert-1183500/?pid=523&cid=902668650', 'https://13tv.co.il/item/news/politics/security/south-tension-1136619/?pid=523&cid=902658177', 'https://13tv.co.il/item/news/politics/security/benet-hamas-1003061/?pid=523&cid=902634211', 'https://13tv.co.il/item/news/politics/security/cease-fire-cabinet-1014068/?pid=523&cid=902635699', 'https://13tv.co.il/item/news/politics/security/drone-1252344/?pid=523&cid=902602913', 'https://13tv.co.il/item/news/politics/security/red-alarm-while-ceremony-1127540/?pid=523&cid=902656461', 'https://13tv.co.il/item/news/politics/security/assf5-235252/?pid=523&cid=902676588', 'https://13tv.co.il/item/news/politics/security/rocket-gaza-strip-1185465/?pid=523&cid=902668960', 'https://13tv.co.il/item/news/politics/security/fukq9-236462/?pid=523&cid=902676670', 'https://13tv.co.il/item/news/politics/security/j2z8a-234988/?pid=523&cid=902676568', 'https://13tv.co.il/item/news/politics/security/ashkelon-shooting-1012706/?pid=523&cid=902635564', 'https://13tv.co.il/item/news/politics/security/south-1112478/?pid=523&cid=902653622', 'https://13tv.co.il/item/news/politics/security/alarm-south-937730/?pid=523&cid=902712929', 'https://13tv.co.il/item/news/politics/security/iaf-south-236771/?pid=523&cid=902676682', 'https://13tv.co.il/item/news/politics/security/pd16z-3171/?pid=523&cid=902673345', 'https://13tv.co.il/item/news/politics/security/egypt-gaza-tension-299689/?pid=523&cid=902684351', 'https://13tv.co.il/item/news/politics/security/syria-attack-1013116/?pid=523&cid=902635606', 'https://13tv.co.il/item/news/politics/security/rockets-1013429/?pid=523&cid=902635643', 'https://13tv.co.il/item/news/politics/security/manelis-gush-dan-235624/?pid=523&cid=902676609', 'https://13tv.co.il/item/news/politics/security/gaza-attack-1013006/?pid=523&cid=902635591', 'https://13tv.co.il/item/news/politics/security/bnei-akiva-rocket-954972/?pid=523&cid=902715565', 'https://13tv.co.il/item/news/politics/security/wall-keeper-1253246/?pid=523&cid=902603132', 'https://13tv.co.il/item/news/politics/security/beer-sheva-shooting-235907/?pid=523&cid=902676630', 'https://13tv.co.il/item/news/politics/security/south-954952/?pid=523&cid=902715562', 'https://13tv.co.il/item/news/politics/security/gaza-attack-935763/?pid=523&cid=902712740', 'https://13tv.co.il/item/news/politics/security/cd9es-937243/?pid=523&cid=902712887', 'https://13tv.co.il/item/news/politics/security/otef-gaza-rocket-299281/?pid=523&cid=902684286', 'https://13tv.co.il/item/news/politics/security/s014d-235141/?pid=523&cid=902676580', 'https://13tv.co.il/item/news/politics/security/sdetort-kindergarden-missile-236266/?pid=523&cid=902676655', 'https://13tv.co.il/item/news/politics/security/gaza-ashkelon-deadgnlf1-235997/?pid=523&cid=902676636', 'https://13tv.co.il/item/news/politics/security/thq2w-538577/?pid=523&cid=902698699', 'https://13tv.co.il/item/news/politics/security/airforce-gaza-after-rockets-924102/?pid=523&cid=902711495', 'https://13tv.co.il/item/news/politics/security/gaza-alarm-981952/?pid=523&cid=902631256', 'https://13tv.co.il/item/news/politics/security/gaza-attack-937366/?pid=523&cid=902712896', 'https://13tv.co.il/item/news/politics/security/w40j0-236336/?pid=523&cid=902676658', 'https://13tv.co.il/item/news/politics/security/alarm-south-937995/?pid=523&cid=902712968', 'https://13tv.co.il/item/news/politics/security/red-alert-1163144/?pid=523&cid=902665121', 'https://13tv.co.il/item/news/politics/security/red-alert-1146390/?pid=523&cid=902660103', 'https://13tv.co.il/item/news/politics/security/rocket-plain-936988/?pid=523&cid=902712856', 'https://13tv.co.il/item/news/politics/security/hamas-denies-924284/?pid=523&cid=902711521', 'https://13tv.co.il/item/news/politics/security/ben-shabat-935557/?pid=523&cid=902712713', 'https://13tv.co.il/item/news/politics/security/alert-south-984499/?pid=523&cid=902631643', 'https://13tv.co.il/item/news/politics/security/hamas-gaza-shoot-356364/?pid=523&cid=902692218', 'https://13tv.co.il/item/news/politics/security/gaza-attack-935566/?pid=523&cid=902712716', 'https://13tv.co.il/item/news/politics/security/south-949071/?pid=523&cid=902714649', 'https://13tv.co.il/item/news/politics/security/yy-z1-343664/?pid=523&cid=902690508', 'https://13tv.co.il/item/news/politics/security/anti-tank-missile-1253309/?pid=523&cid=902603141', 'https://13tv.co.il/item/news/politics/security/rocket-bombing-1251643/?pid=523&cid=902602830', 'https://13tv.co.il/item/news/politics/security/palestinian-islamic-jihad-936917/?pid=523&cid=902712838', 'https://13tv.co.il/item/news/politics/security/hamas-blackmail-235480/?pid=523&cid=902676594', 'https://13tv.co.il/item/news/politics/security/zikim_sdut_yam-237437/?pid=523&cid=902676745', 'https://13tv.co.il/item/news/politics/security/rocket-south-355225/?pid=523&cid=902692059', 'https://13tv.co.il/item/news/politics/security/gaza-egypt-idf-south-236087/?pid=523&cid=902676640', 'https://13tv.co.il/item/news/politics/security/kiryat-gat-hit-235684/?pid=523&cid=902676615', 'https://13tv.co.il/item/news/politics/security/rocket-south-355740/?pid=523&cid=902692123', 'https://13tv.co.il/item/news/politics/security/netanyahu-arab-mp-936213/?pid=523&cid=902712787', 'https://13tv.co.il/item/news/politics/security/south-tension-1013659/?pid=523&cid=902635658', 'https://13tv.co.il/item/news/politics/security/rockets-netanyahu-968430/?pid=523&cid=902717608', 'https://13tv.co.il/item/news/politics/security/gihad_commander-934534/?pid=523&cid=902712658', 'https://13tv.co.il/item/news/politics/security/gaza-strikes-356214/?pid=523&cid=902692191', 'https://13tv.co.il/item/news/politics/security/jihad-response-936129/?pid=523&cid=902712778', 'https://13tv.co.il/item/news/politics/security/cabinet-meeting-south-934851/?pid=523&cid=902712676', 'https://13tv.co.il/item/news/politics/security/coronavirus-gaza-strip-1118106/?pid=523&cid=902654689', 'https://13tv.co.il/item/news/politics/security/sderot-1114372/?pid=523&cid=902653986', 'https://13tv.co.il/item/news/politics/security/rocket-attack-record-1013329/?pid=523&cid=902635633', 'https://13tv.co.il/item/news/politics/security/rocket-gaza-996348/?pid=523&cid=902633287', 'https://13tv.co.il/item/news/politics/security/headlines-05-04-235615/?pid=523&cid=902676606', 'https://13tv.co.il/item/news/politics/security/birthday-cancelled-south-236186/?pid=523&cid=902676649', 'https://13tv.co.il/item/news/politics/security/alarm-beer-sheva-938573/?pid=523&cid=902713077', 'https://13tv.co.il/item/news/politics/security/darom-355478/?pid=523&cid=902692084', 'https://13tv.co.il/item/news/politics/security/gaza-strikes-964530/?pid=523&cid=902716972', 'https://13tv.co.il/item/news/politics/security/gaza-strike-995968/?pid=523&cid=902633232', 'https://13tv.co.il/item/news/politics/security/jihad-anti-tanks-936314/?pid=523&cid=902712793', 'https://13tv.co.il/item/news/politics/security/jihad-response-924317/?pid=523&cid=902711530', 'https://13tv.co.il/item/news/politics/security/gaza-attack-935047/?pid=523&cid=902712685', 'https://13tv.co.il/item/news/politics/security/rocket-hit-934987/?pid=523&cid=902712682', 'https://13tv.co.il/item/news/politics/security/shooting-reaction-934763/?pid=523&cid=902712673', 'https://13tv.co.il/item/news/politics/security/attack-south-236927/?pid=523&cid=902676697', 'https://13tv.co.il/item/news/politics/security/pikude-instructions-934593/?pid=523&cid=902712667', 'https://13tv.co.il/item/news/politics/security/amit-botner-355987/?pid=523&cid=902692153', 'https://13tv.co.il/item/news/politics/security/red-alert-923909/?pid=523&cid=902711480', 'https://13tv.co.il/item/news/politics/security/lasri-ceasefire-937514/?pid=523&cid=902712908', 'https://13tv.co.il/item/news/politics/security/jihad_price_south_israel-936754/?pid=523&cid=902712823', 'https://13tv.co.il/item/news/politics/security/bus-fire-236723/?pid=523&cid=902676679'}",104
מבקיעים,"{'https://13tv.co.il/item/news/politics/security/gaza-strikes-356214/?pid=523&cid=902692191', 'https://13tv.co.il/item/news/politics/security/hamas-gaza-shoot-356364/?pid=523&cid=902692218'}",2
נתיב העשרה,"{'https://13tv.co.il/item/news/politics/security/rocket-south-355740/?pid=523&cid=902692123', 'https://13tv.co.il/item/news/politics/security/darom-355478/?pid=523&cid=902692084', 'https://13tv.co.il/item/news/politics/security/pikude-instructions-934593/?pid=523&cid=902712667', 'https://13tv.co.il/item/news/politics/security/amit-botner-355987/?pid=523&cid=902692153', 'https://13tv.co.il/item/news/politics/security/red-alert-1143092/?pid=523&cid=902659428', 'https://13tv.co.il/item/news/politics/security/gihad_commander-934534/?pid=523&cid=902712658', 'https://13tv.co.il/item/news/politics/security/gaza-strikes-356214/?pid=523&cid=902692191', 'https://13tv.co.il/item/news/politics/security/yy-z1-343664/?pid=523&cid=902690508', 'https://13tv.co.il/item/news/politics/security/red-alert-1145122/?pid=523&cid=902659831', 'https://13tv.co.il/item/news/politics/security/anti-tank-missile-1253309/?pid=523&cid=902603141', 'https://13tv.co.il/item/news/politics/security/netiv-haasara-funding-964500/?pid=523&cid=902716969', 'https://13tv.co.il/item/news/politics/security/south-alarm-1085124/?pid=523&cid=902648038'}",12
כרמיה,,0
אזור תעשייה הדרומי אשקלון,,0
זיקים,"{'https://13tv.co.il/item/news/politics/security/rocket-attack-record-1013329/?pid=523&cid=902635633', 'https://13tv.co.il/item/news/politics/security/pikude-instructions-934593/?pid=523&cid=902712667', 'https://13tv.co.il/item/news/politics/security/south-1112478/?pid=523&cid=902653622', 'https://13tv.co.il/item/news/politics/security/gaza-attack-935413/?pid=523&cid=902712704', 'https://13tv.co.il/item/news/politics/security/gihad_commander-934534/?pid=523&cid=902712658', 'https://13tv.co.il/item/news/politics/security/hamas-gaza-shoot-356364/?pid=523&cid=902692218', 'https://13tv.co.il/item/news/politics/security/j2z8a-234988/?pid=523&cid=902676568', 'https://13tv.co.il/item/news/politics/security/hamas-935226/?pid=523&cid=902712695', 'https://13tv.co.il/item/news/politics/security/zikim_sdut_yam-237437/?pid=523&cid=902676745', 'https://13tv.co.il/item/news/politics/security/gaza-attack-935566/?pid=523&cid=902712716', 'https://13tv.co.il/item/news/politics/security/idf-blockroad-togaza-234905/?pid=523&cid=902676559'}",11
אשדוד - אזור תעשייה צפוני ונ,,0
פלמחים,,0
יד מרדכי,"{'https://13tv.co.il/item/news/politics/security/anti-tank-rocket-moshe-feder-south-237562/?pid=523&cid=902676769', 'https://13tv.co.il/item/news/politics/security/pikude-instructions-934593/?pid=523&cid=902712667', 'https://13tv.co.il/item/news/politics/security/gaza-strike-995968/?pid=523&cid=902633232', 'https://13tv.co.il/item/news/politics/security/gaza-attack-935413/?pid=523&cid=902712704', 'https://13tv.co.il/item/news/politics/security/rocket-gaza-996348/?pid=523&cid=902633287', 'https://13tv.co.il/item/news/politics/security/gihad_commander-934534/?pid=523&cid=902712658', 'https://13tv.co.il/item/news/politics/security/gaza-attack-935566/?pid=523&cid=902712716'}",7
